complete contents,count
Diazepam,110
Ethylbromazolam,23
Alprazolam,19
Lorazepam,12
Clonazepam,11
No Active Component,9
Bromazolam,9
Nitrazepam,5
Tramadol,4
Clonazolam,3
Chlorpheniramine,2
Benzocaine,1
Methylclonazepam,1
Diazepam with Paracetamol,1
"Citalopram, Lorazepam, Tapentadol, Amisulpride, Quetiapine with Diazepam, Propranolol, Atenolol, Chlordiazepoxide, Amitriptyline",1
Caffeine with Clobromazolam,1
"Caffeine, Diazepam with Clobromazolam",1
Dihydrocodeine,1
Clobromazolam,1
Buprenorphine with Naloxone,1
"Caffeine, Clonazolam",1
Bromazepam,1
"Diazepam, Lorazepam",1
Midazolam,1
"Caffeine, Clobromazolam",1
